Thornglint Bridge,"['self enter W battlefield tap .', 'indestruct', '{ W } : add { g } W { w } .']"
Thundering Ceratok,"['trampl', 'W self enter W battlefield , W creatur W control gain trampl W end W turn .']"
Olivia's Wrath,"['W non-vampir creatur get -x/-x W end W turn , W x W W number W vampir W control .']"
Arcbond,"['choos target creatur . whenev W creatur W dealt damag W turn , W deal W much damag W W W creatur W W player .']"
Sky Theater Strix,"['fli', 'whenev W cast W non-creatur spell , self get +1/+0 W end W turn .']"
Aven Shrine,"['whenev W player cast W spell , W player gain x life , W x W W number W card W W graveyard W W W name W W spell .']"
Confidence from Strength,['target creatur get +4/+4 W gain trampl W end W turn .']
Cleanfall,['destroy W enchant .']
Illness in the Ranks,['creatur token get -1/-1 .']
Brokers Hideout,"['W self enter W battlefield , sacrific W . W W W , search W librari W W basic forest , plain , W island card , put W onto W battlefield tap , W shuffl W W gain 1 life .']"
Tinder Farm,"['self enter W battlefield tap .', '{ W } : add { g } .', '{ W } , sacrific self : add { r } { w } .']"
Realmwright,"['W self enter W battlefield , choos W basic land type .', 'land W control W W chosen type W addit W W W type .']"
Charging Monstrosaur,"['trampl , hast']"
Desperate Castaways,"[""self ca n't attack unless W control W artifact .""]"
Lucid Dreams,"['draw x card , W x W W number W card type among card W W graveyard .']"
Orcish Settlers,"['{ x } { x } { r } , { W } , sacrific self : destroy x target land .']"
Zof Shade,['{ 2 } { b } : self get +2/+2 W end W turn .']
One with the Stars,"['enchant creatur W enchant', 'enchant perman W W enchant W lose W W card type .']"
Knights of Thorn,['protect W red ; band']
Devour in Shadow,"[""destroy target creatur . W ca n't W regener . W lose life equal W W creatur 's tough .""]"
Cathar Commando,"['flash', '{ 1 } , sacrific self : destroy target artifact W enchant .']"
Aim High,['untap target creatur . W get +2/+2 W gain reach W end W turn .']
Fortifying Provisions,"['creatur W control get +0/+1 .', 'W self enter W battlefield , creat W food token .']"
"Tatsumasa, the Dragon's Fang","['equip creatur get +5/+5 .', ""{ 6 } , exil self : creat W 5/5 blue dragon spirit creatur token W fli . return self W W battlefield W W owner 's control W W token die ."", 'equip { 3 }']"
Gloomhunter,['fli']
Magmatic Core,"['cumul upkeep { 1 }', 'W W begin W W end step , self deal x damag divid W W choos among W number W target creatur , W x W W number W age counter W W .']"
Blue Dragon,"['fli', 'lightn breath — W self enter W battlefield , W W next turn , target creatur W oppon control get -3/-0 , W W one W target creatur get -2/-0 , W W W one W target creatur get -1/-0 .']"
Sky Crier,"['fli , lifelink', '{ 3 } { w } : W W target oppon W draw W card .']"
Hindering Light,"['counter target spell W target W W W perman W control .', 'draw W card .']"
Barrage Ogre,"['{ W } , sacrific W artifact : self deal 2 damag W W target .']"
Phantasmal Image,"[""W may W self enter W battlefield W W copi W W creatur W W battlefield , except W 's W illus W addit W W W type W W W `` W W creatur becom W target W W spell W abil , sacrific W . ''""]"
Sonic Seizure,"['W W addit cost W cast W spell , discard W card W random .', 'self deal 3 damag W W target .']"
Lithophage,"['W W begin W W upkeep , sacrific self unless W sacrific W mountain .']"
Mercenary Informer,"[""self ca n't W W target W black spell W abil W black sourc ."", ""{ 2 } { w } : put target non-token mercenari W W bottom W W owner 's librari .""]"
Kaya's Ghostform,"['enchant creatur W planeswalk W control', 'W enchant perman die W W put W exil , return W card W W battlefield W W control .']"
Pitiless Pontiff,"['{ 1 } , sacrific anoth creatur : self gain deathtouch W indestruct W end W turn .']"
Dhund Operative,"['W long W W control W artifact , self get +1/+0 W W deathtouch .']"
Arctic Foxes,"[""self ca n't W block W creatur W power 2 W greater W long W defend player control W snow land .""]"
Predatory Focus,"[""W may W creatur W control assign W combat damag W turn W though W W n't block .""]"
Mondronen Shaman // Tovolar's Magehunter,[]
Ember-Eye Wolf,"['hast', '{ 1 } { r } : self get +2/+0 W end W turn .']"
Heroes Remembered,"['W gain 20 life .', 'suspend 10— { w }']"
Silkguard,"['put W +1/+1 counter W W W W W x target creatur W control .', 'aura , equip , W modifi creatur W control gain hexproof W end W turn .']"
Wretched Throng,"['W self die , W may search W librari W W card name name_wretched_throng , reveal W , put W W W hand , W shuffl .']"
Siren of the Silent Song,"['fli', 'inspir — whenev self becom untap , W oppon discard W card , W W oppon mill W card .']"
Rabid Wolverines,"['whenev self becom block W W creatur , self get +1/+1 W end W turn .']"
Enormous Energy Blade,"['equip creatur get +4/+0 .', 'whenev self becom attach W W creatur , tap W creatur .', 'equip { 2 }']"
Howling Gale,"['self deal 1 damag W W creatur W fli W W player .', 'flashback { 1 } { g }']"
Merrow Wavebreakers,"['{ 1 } { u } , { q } : self gain fli W end W turn .']"
Goretusk Firebeast,"['W self enter W battlefield , W deal 4 damag W target player W planeswalk .']"
Weathered Bodyguards,"['W long W self W untap , W combat damag W would W dealt W W W unblock creatur W dealt W self instead .', 'morph { 3 } { w }']"
Crypt Ripper,"['hast', '{ b } : self get +1/+1 W end W turn .']"
Breathkeeper Seraph,"['fli , soulbond', ""W long W self W pair W anoth creatur , W W W creatur W `` W W creatur die , W may return W W W battlefield W W owner 's control W W begin W W next upkeep . ''""]"
Extravagant Spirit,"['fli', 'W W begin W W upkeep , sacrific self unless W pay { 1 } W W card W W hand .']"
Henge Walker,"['adam — W W least three mana W W W color W spent W cast W spell , self enter W battlefield W W +1/+1 counter W W .']"
Rootless Yew,"['W self die , search W librari W W creatur card W power W tough 6 W greater , reveal W , put W W W hand , W shuffl .']"
Dissolve,['counter target spell . scri 1 .']
Crackdown Construct,"[""whenev W activ W abil W W artifact W creatur W W n't W mana abil , self get +1/+1 W end W turn .""]"
Mudhole,['target player exil W land card W W graveyard .']
Verdant Rebirth,"[""W end W turn , target creatur gain `` W W creatur die , return W W W owner 's hand . ''"", 'draw W card .']"
"Kethis, the Hidden Hand","['legendari spell W cast cost { 1 } less W cast .', ""exil two legendari card W W graveyard : W end W turn , W legendari card W W graveyard gain `` W may play W card W W graveyard . ''""]"
Storm Front,['{ g } { g } : tap target creatur W fli .']
Memorial to Unity,"['self enter W battlefield tap .', '{ W } : add { g } .', '{ 2 } { g } , { W } , sacrific self : look W W top five card W W librari . W may reveal W creatur card W among W W put W W W hand . W put W rest W W bottom W W librari W W random order .']"
Failed Inspection,"['counter target spell . draw W card , W discard W card .']"
Zealous Guardian,['flash']
Barrin's Codex,"['W W begin W W upkeep , W may put W page counter W self .', '{ 4 } , { W } , sacrific self : draw x card , W x W W number W page counter W self .']"
Khalni Ambush // Khalni Territory,[]
Gitaxian Probe,"['', ""look W target player 's hand ."", 'draw W card .']"
Plague Mare,"[""self ca n't W block W white creatur ."", 'W self enter W battlefield , creatur W oppon control get -1/-1 W end W turn .']"
Unbounded Potential,"['choos one —', '• put W +1/+1 counter W W W W W two target creatur .', '• prolifer .', 'entwin { 3 } { w }']"
Ugin's Conjurant,"['self enter W battlefield W x +1/+1 counter W W .', 'W damag would W dealt W self W W W W +1/+1 counter W W , prevent W damag W remov W mani +1/+1 counter W self .']"
Ravenous Lindwurm,"['W self enter W battlefield , W gain 4 life .']"
Lantern Kami,['fli']
Essence Depleter,"['devoid', '{ 1 } { c } : target oppon lose 1 life W W gain 1 life .']"
"Zangief, the Red Cyclone","['self must W block W abl .', ""iron muscl — W long W W 's W turn , self W indestruct ."", ""spin piledriv — whenev self deal damag W W creatur , W W creatur W dealt excess damag W turn , W creatur 's control sacrific W non-creatur , non-land perman .""]"
Possessed Aven,"['fli', ""threshold — W long W seven W W card W W W graveyard , self get +1/+1 , W black , W W `` { 2 } { b } , { W } : destroy target blue creatur . ''""]"
Genju of the Falls,"['enchant island', ""{ 2 } : enchant island becom W 3/2 blue spirit creatur W fli W end W turn . W 's still W land ."", 'W enchant island W put W W graveyard , W may return self W W graveyard W W hand .']"
Seismic Elemental,"[""W self enter W battlefield , creatur without fli ca n't block W turn .""]"
Goblin Morningstar,"['equip creatur get +1/+0 W W trampl .', 'equip { 1 } { r }', 'W self enter W battlefield , roll W d20 .', '1—9 | creat W 1/1 red goblin creatur token .', '10—20 | creat W 1/1 red goblin creatur token , W attach self W W .']"
Cloudkin Seer,"['fli', 'W self enter W battlefield , draw W card .']"
Temur Banner,"['{ W } : add { g } , { u } , W { r } .', '{ g } { u } { r } , { W } , sacrific self : draw W card .']"
Seachrome Coast,"['self enter W battlefield tap unless W control two W fewer W land .', '{ W } : add { w } W { u } .']"
Wirewood Savage,"['whenev W beast enter W battlefield , W may draw W card .']"
Aggravate,['self deal 1 damag W W creatur target player control . W creatur dealt damag W way attack W turn W abl .']
Mouth // Feed,[]
Feed the Serpent,['exil target creatur W planeswalk .']
Shyft,"['W W begin W W upkeep , W may W self becom W color W color W W choic .']"
Elite Arcanist,"['W self enter W battlefield , W may exil W instant card W W hand .', '{ x } , { W } : copi W exil card . W may cast W copi without pay W mana cost . x W W mana valu W W exil card .']"
Oblivion Stone,"['{ 4 } , { W } : put W fate counter W target perman .', '{ 5 } , { W } , sacrific self : destroy W non-land perman without W fate counter W W , W remov W fate counter W W perman .']"
Thallid Omnivore,"['{ 1 } , sacrific anoth creatur : self get +2/+2 W end W turn . W W saprol W sacrif W way , W gain 2 life .']"
Beast Walkers,['{ g } : self gain band W end W turn .']
Gloomwidow,"['reach', 'self W block W creatur W fli .']"
Goldmeadow Lookout,"[""{ w } , { W } , discard W card : creat W 1/1 white kithkin soldier creatur token name name_goldmeadow_harri . W W `` { w } , { W } : tap target creatur . ''""]"
Elder Spawn,"['W W begin W W upkeep , unless W sacrific W island , sacrific self W W deal 6 damag W W .', ""self ca n't W block W red creatur .""]"
Dueling Rapier,"['flash', 'W self enter W battlefield , attach W W target creatur W control .', 'equip creatur get +2/+0 .', 'equip { 4 }']"
Hot Soup,"[""equip creatur ca n't W block ."", 'whenev equip creatur W dealt damag , destroy W .', 'equip { 3 }']"
Star Pupil,"['self enter W battlefield W W +1/+1 counter W W .', 'W self die , put W counter W target creatur W control .']"
String of Disappearances,"[""return target creatur W W owner 's hand . W W creatur 's control may pay { u } { u } . W W player W , W may copi W spell W may choos W new target W W copi .""]"
Final Revels,"['choos one —', '• W creatur get +2/+0 W end W turn .', '• W creatur get -0/-2 W end W turn .']"
Day of Destiny,['legendari creatur W control get +2/+2 .']
Tel-Jilad Justice,['destroy target artifact . scri 2 .']
Mirrorworks,"[""whenev anoth non-token artifact enter W battlefield W W control , W may pay { 2 } . W W W , creat W token W 's W copi W W artifact .""]"
Dimir House Guard,"['fear', 'sacrific W creatur : regener self .', 'transmut { 1 } { b } { b }']"
Grand Melee,"['W creatur attack W combat W abl .', 'W creatur block W combat W abl .']"
Regenerate,['self target creatur .']
Yare,['target creatur defend player control get +3/+0 W end W turn . W creatur W block W W two addit creatur W turn .']
Duskmantle Guildmage,"[""{ 1 } { u } { b } : whenev W card W put W W oppon 's graveyard W anywher W turn , W player lose 1 life ."", '{ 2 } { u } { b } : target player mill two card .']"
Nature's Chant,['destroy target artifact W enchant .']
